id,name,address,city,state,zip,phone,url
666943,Liberty Ave,(null) Liberty Ave,Vermilion,44089,(null),(null)
666943,W Lake Rd,(null) W Lake Rd,Huron,44839,(null),(null)
666951,6571 Jimmy Carter Blvd,6571 Jimmy Carter Blvd,Norcross,30071,(null),(null)
666963,101 E Washington St,101 E Washington St,Greensburg,47240,(null),(null)
666961,201 E Main St,201 E Main St,Washington,47501,(null),(null)
666945,823 Peterson Ave N,823 Peterson Ave N,Douglas,31533,(null),(null)
666953,525 Union St,525 Union St,Carlstadt,07072,(null),(null)
666959,5001 Youngstown Poland Rd,5001 Youngstown Poland Rd,Youngstown,44514,(null),(null)
666949,1787 E Cottonwood St,1787 E Cottonwood St,Cottonwood,86326,(null),(null)
666941,50 Trotters Way,50 Trotters Way,Freehold township,07728,(null),(null)
666939,232 Dixie Dr,232 Dixie Dr,Clute,77531,(null),(null)
666929,809 E US Highway 36,809 E US Highway 36,Urbana,43078,(null),(null)
666937,331 E 5th St,331 E 5th St,Yazoo City,39194,(null),(null)
666923,1701 Riverside Ave,1701 Riverside Ave,Marinette,54143,(null),(null)
666933,311 N Virginia St,311 N Virginia St,Port Lavaca,77979,(null),(null)
666931,851 N Locust Ave,851 N Locust Ave,Lawrenceburg,38464,(null),(null)
666925,1 Warwick Rd,1 Warwick Rd,Haddonfield,08033,(null),(null)
666921,40 E North Ave,40 E North Ave,Northlake,60164,(null),(null)
666917,2028 Baseline St,2028 Baseline St,Cornelius,97113,(null),(null)
666911,600 Saint Johns Ave,600 Saint Johns Ave,Palatka,32177,(null),(null)
666919,25 S 3rd Ave,25 S 3rd Ave,Manville,08835,(null),(null)
666909,101 S Shuman St,101 S Shuman St,Verona,53593,(null),(null)
666913,3129 Greenwich Rd,3129 Greenwich Rd,Norton,44203,(null),(null)
666905,1102 John Sims Pkwy E,1102 John Sims Pkwy E,Niceville,32578,(null),(null)
666915,100 Court Ave,100 Court Ave,Indianola,38751,(null),(null)
666907,5790 Kessler Ln,5790 Kessler Ln,Merriam,66203,(null),(null)
666899,Oneonta, NY,(null) (null),Oneonta,(null),(null),http://en.wikipedia.org/wiki/Oneonta,_New_York
666901,2541 Church St,2541 Church St,Hernando,38632,(null),(null)
666903,101 E Crandall Ave,101 E Crandall Ave,Harrison,72601,(null),(null)
666895,State Route 14,(null) State Route 14,Phelps,14456,(null),(null)
666895,State Route 14A,(null) State Route 14A,Seneca,14456,(null),(null)
666895,St Rt 14a,(null) St Rt 14a,Seneca,14456,(null),(null)
